record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-452|2024||Proposed|Drilling of solar driven water borehole at Kawama Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-453|2024||Proposed|Procurement of 450 desks at Comis school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-454|2024||Proposed|Construction of bridge on Nakayombo stream|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-455|2024||Proposed|Electrification of Misenga school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-456|2024||Proposed|Construction of modern maternity wine at Kawama clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-457|2024||Proposed|Drilling and installation of solar powered bore holes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-458|2024||Proposed|Electrification of east of Garneton police post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-459|2024||Proposed|Construction of wall fence at Happy Kawama school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-460|2024||Proposed|Drilling of water borehole solar driven at Comis school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-461|2024||Proposed|Construction of ablution block at Lubuto Center|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-462|2024||Proposed|Construction of a 1x4 classroom block at Lubuto Centre|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
