record_id|fiscal_year|period|category|line_item|funding_source|approved|actual_zmw|description|source_document|stakeholders
KIT2-CPS-2024-576|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-577|2024||Proposed|Construction of 1x3 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-578|2024||Proposed|Rehabilitation of Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-579|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-580|2024||Proposed|Construction of 1x3 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-581|2024||Proposed|Construction of 1x3 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-582|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-583|2024||Proposed|Purchase of earth moving Machinery|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-584|2024||Proposed|Siting drilling and equipping of borehole|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-585|2024||Proposed|Construction of a Classroom Block in Misaka|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-586|2024||Proposed|Rehabilitation of Market Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-587|2024||Proposed|Completion of Toilet at Market Shelter|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-588|2024||Proposed|Grading of Roads|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-589|2024||Proposed|Procurement of 4 Toyota Hiace Ace Mini Bus 14 Seats|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-590|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-591|2024||Proposed|Construction of Wall Fence with the inclusion of Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-592|2024||Proposed|Construction of skills Centre|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-593|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-594|2024||Proposed|Water Pump|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-595|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-596|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-597|2024||Proposed|Construction of Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-598|2024||Proposed|Construction of an Ablution Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-599|2024||Proposed|Construction of a Health Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-600|2024||Proposed|Drilling And Equipping of Borehole at Bulangililo Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-601|2024||Proposed|Equipping of Borehole - at Mwaiseni overspill Market and Ablution|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-602|2024||Proposed|Equipping of Borehole - at Nyali Community Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-603|2024||Proposed|Health Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-604|2024||Proposed|Procurement of 100 Desks for Kafue Park Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-605|2024||Proposed|Procurement of 110 Desks for the 1x4 Classroom Block at Chantete Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-606|2024||Proposed|Procurement of 180 Desks for Lulamba Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-607|2024||Proposed|Procurement of 200 Desks at Bulangililo Combined School A & B|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-608|2024||Proposed|Procurement of 200 Desks for Mitanto School Community Hall|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-609|2024||Proposed|Procurement of 200 School Desks for Riverain School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-610|2024||Proposed|Procurement of 60 Desks for Mupundu Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-611|2024||Proposed|Procurement of 750 Desks and 200 Desk Boards at Ipusukilo Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-612|2024||Proposed|Procurement of a Bull Dozer|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-613|2024||Proposed|Procurement of a Grader & Tipper Truck (Bell)|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-614|2024||Proposed|Procurement of School Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-615|2024||Proposed|Purchase of aa Ambulance at Eddeco Clinic and Upgrading the Clinic and Toilets|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-616|2024||Proposed|Purchase of Equipment for the Maternity Wing at Ipusukilo Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-617|2024||Proposed|Rehabilitation of OPD 1 at Kwacha Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-618|2024||Proposed|Re-Installation and New Connections - Equipping of Borehole|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-619|2024||Proposed|Re-Installation and New Connections - Equipping of Borehole|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-620|2024||Proposed|Road Paving of CBU Clinic Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-621|2024||Proposed|Siting And Drilling of Borehole - at Nyali Community Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-622|2024||Proposed|Siting And Drilling of Borehole - at Mwaiseni Overspill Market|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-623|2024||Proposed|Stone Pitching of The Drainage in Chimbotela Area|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-624|2024||Proposed|Supply and Delivery of an Ambulance|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-625|2024||Proposed|Supply and Delivery of Motor Grader|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-626|2024||Proposed|Supply and Delivery of Tipper Truck|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-627|2024||Proposed|Supply and Installation of a Sliding Gate at Bulangililo Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-628|2024||Proposed|Upgrading of Ipusukilo Market/ Borehole Installation|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-629|2024||Proposed|Upgrading of Nkana East Clinic to a Mini Hospital|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-630|2024||Proposed|Upgrading the Road from Ipusukilo Police Post through Eddeco Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-631|2024||Proposed|Extension of Concrete Base on Entrance and Exits|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-632|2024||Proposed|Construction of an Ablution Block at Bulangililo Market|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-633|2024||Proposed|Construction of Concrete Block Wall Fence at Lulamba Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-634|2024||Proposed|Construction of Police Post in Kwacha Resettlement (Kr) Area|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-635|2024||Proposed|Construction of Standard Health Post at Kafue|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-636|2024||Proposed|Drilling and equipping|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-637|2024||Proposed|Variation on the Construction of Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-638|2024||Proposed|Construction of a Mother's shelter at Mugala Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-639|2024||Proposed|Construction of a Market Electric Borehole and Water Scheme in Mugala Community|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-640|2024||Proposed|Electrification of Mugala Clinic and the entire community using (REA) Funds|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-641|2024||Proposed|Wirefencing Procurement of furniture and painting of a Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-642|2024||Proposed|Grading and Putting of Laterite on Existing Main Roads|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-643|2024||Proposed|Installation of Solar Street lights in all Major Roads in the ward|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-644|2024||Proposed|Procurement of Security Containers|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-645|2024||Proposed|Construction of Speed Humps|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-646|2024||Proposed|Construction of a Wall fence around Kamakonde Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-647|2024||Proposed|Water (Drilling of Solar Powered Borehole at Mipaip Section|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-648|2024||Proposed|Construction of a Raod Using Waste Rock and Laterite|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-649|2024||Proposed|Construction of Houses|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-650|2024||Proposed|Martenity wing Construction|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-651|2024||Proposed|Construction of Classroom Blocks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-652|2024||Proposed|Development of a Road Network|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-653|2024||Proposed|Construction of a Pipped water Supply System|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-654|2024||Proposed|Grading and compacting a 20KM Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-655|2024||Proposed|Bridge Construction|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-656|2024||Proposed|Construction of a 1x3 Class Room|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-657|2024||Proposed|Street lights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-658|2024||Proposed|Renovations of Country Buildings Judiciary|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-659|2024||Proposed|Procurement of School Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-660|2024||Proposed|Construction of Staff Toilets|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-661|2024||Proposed|Procurement of School Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-662|2024||Proposed|Construction of Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-663|2024||Proposed|Construction of Police post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-664|2024||Proposed|Road grading of Street Roads|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-665|2024||Proposed|Procurement of School Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-666|2024||Proposed|Construction of Health facility|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-667|2024||Proposed|Construction and rehabilitation of infrastructure at Kitwe Boys Secondary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-668|2024||Proposed|Renovation of Court building at Kitwe II Local Court|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-669|2024||Proposed|Renovation of Court building at Kitwe Sub Court|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-670|2024||Proposed|Construction of Public Ablution block at Kitwe High Court|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-671|2024||Proposed|Paving of Court yard at Kitwe High Court|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-672|2024||Proposed|Construction of a 1 x 4 Classroom block at St. Anthony Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-673|2024||Proposed|Construction of a wall fence around Kitwe Main Combined School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-674|2024||Proposed|Installation of solar street lights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-675|2024||Proposed|Construction of Market shelter in Kandawe|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-676|2024||Proposed|Construction of Charcoal market shelter in St. Anthony|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-677|2024||Proposed|Construction of a Police post in Buyantanshi|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-678|2024||Proposed|Installation of solar street lights along Diamond drive|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-679|2024||Proposed|Street lights|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-680|2024||Proposed|Water Project|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-681|2024||Proposed|Construction of Toilet at Mindolo North Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-682|2024||Proposed|Wall fence at Salem Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-683|2024||Proposed|Drilling of borehole at Chamboli primary school|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-684|2024||Proposed|Purchase of an ambulance|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-685|2024||Proposed|Purchase of 3305 desks 100 stools and rehabilitation of 350 desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-686|2024||Proposed|Construction of a clinic in Luangwa|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-687|2024||Proposed|Contribution towards hospital road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-688|2024||Proposed|Additional funds towards the purchase of a bull tractor|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-689|2024||Proposed|Allocation for CDF hour radio show and publicity|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-690|2024||Proposed|Electrification of Lima Primary School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-691|2024||Proposed|Construction of an ablution block at the Wusakile local court|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-692|2024||Proposed|Completion of 120m wall fence at the Wusakile Skills Training Centre|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-693|2024||Proposed|Fuel for the bull tractor|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-694|2024||Proposed|Drilling of a borehole in Kakolo|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-695|2024||Proposed|Equipping of a borehole in Kakolo|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-696|2024||Proposed|Drilling of a borehole in Luangwa|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-697|2024||Proposed|Equipping of a borehole in Luangwa|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-698|2024||Proposed|Trapezoidal drainage|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-699|2024||Proposed|Additional funds towards Muchele borehole in Luangwa ward|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-700|2024||Proposed|Twatemwa Combined School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-701|2024||Proposed|Sinking and Equipping 4 Solar Boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-702|2024||Proposed|Completion of a 1x4 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-703|2024||Proposed|Construction of a Science Laboratory|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-704|2024||Proposed|Construction of a School Boundary Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-705|2024||Proposed|Construction of a Clinic|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-706|2024||Proposed|Procurement of 800 Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-707|2024||Proposed|Construction of a School Hall|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-708|2024||Proposed|Completion of a 1x4 Classroom Block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-709|2024||Proposed|Construction of a School Boundary Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-710|2024||Proposed|Replacement of Water Pipes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-711|2024||Proposed|Construction of a Police Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-712|2024||Proposed|Provision of West Lock material on Mpundu Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-713|2024||Proposed|Construction of a Foot Bridge at Huimanism Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-714|2024||Proposed|Procurement of 500 Desks|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-715|2024||Proposed|Construction of a School Boundary Wall Fence|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-716|2024||Proposed|Construction of Kamana Mainsa Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-717|2024||Proposed|Construction of Namyra Road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-718|2024||Proposed|Construction of a Health Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-719|2024||Proposed|Grading of roads|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-720|2024||Proposed|Sinking of 5 boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-721|2024||Proposed|Grading of road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-722|2024||Proposed|Construction of a community School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-723|2024||Proposed|Grading of road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-724|2024||Proposed|Sinking of 5 boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-725|2024||Proposed|Construction of a bridge and road|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-726|2024||Proposed|Plastering of Lupili School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-727|2024||Proposed|Sinking of 6 boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-728|2024||Proposed|Road grading and bridge construction|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-729|2024||Proposed|Road construction|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-730|2024||Proposed|Construction of a community School|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-731|2024||Proposed|Construction of a police post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-732|2024||Proposed|Construction of 1*4 classroom block|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-733|2024||Proposed|Sinking of 5 boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-734|2024||Proposed|Construction of a Health Post|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-735|2024||Proposed|Sinking of 5 boreholes|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-736|2024||Proposed|Construction of two teachers houses|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-737|2024||Proposed|Procurement of a 7 in 1 bull tractor|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
KIT2-CPS-2024-738|2024||Proposed|Construction of a vehicle bridge|2024 CDF funding|No|||CDF-2024-PROPOSED-AND-APPROVED-PROJECTS.pdf|
