record_id|fiscal_year|period|category|line_item|actual_zmw|description|source_document|source_table|source_page
KIT-AFS-2018-001|2018|FY2018|Receipts|Total Cash Receipts|121715673.0|Cash receipts for FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2018-002|2018|FY2018|Payments|Total Payments|115932159.0|Total payments for FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2018-003|2018|FY2018|Net|Increase/(Decrease) in Cash|5783514.0|Net cash movement FY2018|Kitwe-City-Council-2018-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2019-001|2019|FY2019|Receipts|Total Cash Receipts|135415812.0|Cash receipts for FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2019-002|2019|FY2019|Payments|Total Payments|129989709.0|Total payments for FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2019-003|2019|FY2019|Net|Increase/(Decrease) in Cash|5426103.0|Net cash movement FY2019|Kitwe-City-Council-2019-FS.pdf|Statement of Cash Receipts|11.0
KIT-AFS-2020-001|2020|FY2020|Receipts|Total Cash Receipts|133288662.0|Cash receipts for FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2020-002|2020|FY2020|Payments|Total Payments|123667113.0|Total payments for FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2020-003|2020|FY2020|Net|Increase/(Decrease) in Cash|9621549.0|Net cash movement FY2020|Kitwe-City-Council-2020-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2021-001|2021|FY2021|Receipts|Total Cash Receipts|158232505.0|Cash receipts for FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2021-002|2021|FY2021|Payments|Total Payments|150048049.0|Total payments for FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2021-003|2021|FY2021|Net|Increase/(Decrease) in Cash|8184457.0|Net cash movement FY2021|Kitwe-City-Council-2021-FS.pdf|Statement of Cash Receipts|12.0
KIT-AFS-2022-001|2022|FY2022|Receipts|Total Cash Receipts|257476921.0|Cash receipts for FY2022|Kitwe-City-Council-2022-Financial-Statements.docx|Statement of Cash Receipts|11.0
KIT-AFS-2022-002|2022|FY2022|Payments|Total Payments|189001826.0|Total payments for FY2022|Kitwe-City-Council-2022-Financial-Statements.docx|Statement of Cash Receipts|11.0
KIT-AFS-2022-003|2022|FY2022|Net|Increase/(Decrease) in Cash|68475095.0|Net cash movement FY2022|Kitwe-City-Council-2022-Financial-Statements.docx|Statement of Cash Receipts|11.0
KIT-AFS-2023-001|2023|FY2023|Receipts|Total Cash Receipts|328329974.0|Cash receipts for FY2023|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Statement of Cash Receipts|13.0
KIT-AFS-2023-002|2023|FY2023|Payments|Total Payments|310921980.0|Total payments for FY2023|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Statement of Cash Receipts|13.0
KIT-AFS-2023-003|2023|FY2023|Net|Increase/(Decrease) in Cash|17407994.0|Net cash movement FY2023|Kitwe-C-C-2023-Financial-Statements-SIGNED.pdf|Statement of Cash Receipts|13.0
KIT-AFS-2024-001|2024|FY2024|Receipts|Total Cash Receipts|368140890.0|Cash receipts for FY2024|Kitwe-C-C-2024-Audited-financial-statements-final-071125.pdf|Statement of Cash Receipts|13.0
